posi,str,color,gen,member,description
,青春,,,,高校一年生から日向坂46に加入し、ほぼ全ての青春をここで過ごしてきた。メンバーと一緒に過ごす中で、ワイワイした気持ちになれることが多く、本当に日向坂46で青春できて良かったという思い入れ。
0.4,天使,red,1,加藤 史帆,天使だから
0.8,寿司,blue,2,金村 美玖,お寿司だから
1.2,兎耳,yellow,3,上村 ひなの,Am I readyだから
1.6,百裂,green,4,石塚 瑶季,猫好き＝ジバニャン=百裂肉球
2,支柱,red,1,佐々木 久美,キャプテンだから
2.4,沼女,green,4,小西 夏菜実,4期生の中で一番推しメンで沼っている。
2.8,彼女,blue,2,河田 陽菜,
3.2,正義,green,4,清水 理央,
3.6,堅実,yellow,3,髙橋 未来虹,ライブのリハーサルでは誰よりも把握して努力している。
4,少年,green,4,正源司 陽子,わんぱく少年。
4.4,ぱん,red,1,佐々木 美玲 ,みーぱん&明るくにこやかな響き。
4.8,大砲,green,4,平尾 帆夏,ひら砲だから
5.2,女神,blue,2,小坂 菜緒,
5.6,天才,yellow,3,森本 茉莉,天才まりもとだから
6,じゃけぇ,green,4,竹内 希来里,広島&予測不可能な性格なので2文字の縛りを超えた。
6.4,温厚,red,1,高瀬 愛奈,
6.8,美声,blue,2,富田 鈴花,鬼レンチャンアイドルだから
7.2,文才,green,4,平岡 海月,
7.6,笑顔,blue,2,丹生 明里,にぱーだから
8,降臨,green,4,藤嶌 果歩,かほりん降臨だから
8.4,姉御,red,1,高本 彩花,あや姉さんだから
8.8,甘辛,green,4,宮地 すみれ,
9.2,投球,yellow,3,山口 陽世,ラミちゃんの弟子だから
9.6,炸裂,green,4,山下 葉留花,
10,優勝,red,1,東村 芽依,何をしている姿も世界一。
10.4,余裕,blue,2,濱岸 ひより,
10.8,初恋,green,4,渡辺 莉奈,幼いのに大人っぽく、同じクラスなら一番に恋してる。
11.2,安心,blue,2,松田 好花,
